curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13,Category 14
,CO_331:0000147,PtTyp_Et_3to9,PLANT,Characterizing stocks,Emergency (EE),Recommended,Huaman1991:Def_4.1.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000001,Plant type,Morphological,The growth habit of the plant,,PtTyp,,Plant,Type,Recommended,Huaman1991:Def_4.1.2,CO_331:0000002,Visual estimation - Plant type method,Estimation,Observe the plant type and rate it,,Huaman1991:Def_4.1.2,CO_331:0000003,PtTyp 4 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.2,3 = Erect (<75 cm),5 = Semi-erect (75-150 cm),7 = Spreading (151-250 cm),9 = Extremely spreading (> 250 cm),,,,,,,,,,
,CO_331:0000148,VnFolGRnv_Et_3to9,GRNDCOVR,Characterizing stocks,Emergency (EE),Recommended,Huaman1991:Def_4.1.3,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000004,Ground cover,Morphological,The ground cover of the plant,,VnFolGRnv,,Plant,Ground cover,Recommended,Huaman1991:Def_4.1.3,CO_331:0000005,Visual estimation - Ground cover method,Estimation,Observe the ground cover and rate it. Estimated percentage of ground cover recorded 35-40 days after planting,,Huaman1991:Def_4.1.3,CO_331:0000006,VnFolGRnv 4pt. scale,Ordinal,,,,Huaman1991:Def_4.1.3,3 = Low (<50%),5 = Medium (<50-74%),7 = High (75-90%),9 = Total (> 90%),,,,,,,,,,
,CO_331:0000149,PtTwg_Et_0to9,TWING,Characterizing stocks,Emergency (EE),Recommended,Huaman1991:Def_4.1.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000007,Twining,Morphological,The twining of the plant,,PtTwg,,Plant,Twining,Recommended,Huaman1991:Def_4.1.1,CO_331:0000008,Visual estimation - Twining method,Estimation,Observe the twining and rate it,,Huaman1991:Def_4.1.1,CO_331:0000009,PtTwg 5 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.1,0 = Non-Twining,3 = Slightly twining,5 = Moderately twining,7 = Twining,9 = Very twining,,,,,,,,,
,CO_331:0000150,VnColP_Et_1to9,VINCO1,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.5.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000010,Vine predominant color,Morphological,The predominant color of the vine. The predominant color should be evaluated considering the whole vine from base to tip,,VnColP,,Vine,Predominant color,Recommended,Huaman1991:Def_4.1.5.1,CO_331:0000011,Visual estimation - Vine predominant color method,Estimation,Observe the predominant color of the vine and rate it,,Huaman1991:Def_4.1.5.1,CO_331:0000012,VnColP 8 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.5.1,1 = Green,3 = Green with few purple spots,4 = Green with many purple spots,5 = Green with many dark purple spots,6 = Mostly purple,7 = Mostly dark purple,8 = Totally purple,9 = Totally dark purple,,,,,,
,CO_331:0000151,VnColS_Et_0to9,VINCO2,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.5.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000013,Vine secondary color,Morphological,The secondary color of the vine. The secondary color is more easily evaluated using younger vines,,VnColS,,Vine,Secondary color,Recommended,Huaman1991:Def_4.1.5.2,CO_331:0000014,Visual estimation - Vine secondary color method,Estimation,Observe the secondary color of the vine and rate it,,Huaman1991:Def_4.1.5.2,CO_331:0000015,VnColS 8 pt. scale,Nominal,,,,Huaman1991:Def_4.1.5.2,0 = Absent,1 = Green base,2 = Green tip,3 = Green nodes,4 = Purple base,5 = Purple tip,6 = Purple nodes,7 = Other,,,,,,
,CO_331:0000152,VnTipP_Et_0to9,VINPUBS,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.6,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000016,Vine tips pubescence,Morphological,The pubescence of the vine apex or tips,,VnTipP,,Vine tip,Pubescence,Recommended,Huaman1991:Def_4.1.6,CO_331:0000017,Visual estimation - Vine apex pubescence method,Estimation,Observe the pubescence of the vine apex and rate it. Degree of hairiness of immature leaves recorded at the apex of the vines,,Huaman1991:Def_4.1.6,CO_331:0000018,VnTipP 4 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.6,0 = Absent,3 = Sparse,5 = Moderate,7 = Heavy,,,,,,,,,,
,CO_331:0000156,VnInLg_Et_1to9,VINLG,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.4.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000153,Vine internode length,Morphological,The length of the vine internode,,VnInLg,,Vine internode,Length,Recommended,Huaman1991:Def_4.1.4.1,CO_331:0000154,Estimation - Vine internode length method,Measurement,Measure vine internode length and rate it. Average expression of at least three internodes located in the middle section of the vine,,Huaman1991:Def_4.1.4.1,CO_331:0000155,VnInLg 5pt. scale,Ordinal,,,,Huaman1991:Def_4.1.4.1,1 = Very short (<3 cm),3 = Short (3-5 cm),5 = Intermediate (6-9 cm),7 = Long (10-12 cm),9 = Very long (>12 cm),,,,,,,,,
,CO_331:0000160,VnInD_Et_1to9,VINDIA,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.4.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000157,Vine internode diameter,Morphological,The diameter of the vine internode,,VnInD,,Vine internode,Diameter,Recommended,Huaman1991:Def_4.1.4.2,CO_331:0000158,Measurement - Vine internode diameter,Measurement,Measure vine internode diameter and rate it. Average expression of at least three internodes located in the middle section of the vine,,Huaman1991:Def_4.1.4.2,CO_331:0002031,mm,Ordinal,,,,Huaman1991:Def_4.1.4.2,1 = Very thin (<4 mm),3 = Thin (4-6 mm),5 = Intermediate (7-9 mm),7 = Thick (10-12 mm),9 = Very thick (>12 mm),,,,,,,,,
,CO_331:0000161,LfOut_Et_1to7,LEAFSHAP1,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.7.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000019,Leaf general outline,Morphological,The general outline of the leaf,,LfOut,,Leaf,General outline,Recommended,Huaman1991:Def_4.1.7.1,CO_331:0000020,Visual estimation - Leaf general outline method,Estimation,Observe the leaf general outline and rate it. Described from leaves located in the middle section of the vine,,Huaman1991:Def_4.1.7.1,CO_331:0000021,LfOut 7 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.7.1,1 = Rounded,2 = Reniform (kidney-shaped),3 = Chordate (heart-shaped),4 = Triangular,5 = Hastate,6 = Lobed,7 = Almost divided,,,,,,,
,CO_331:0000162,LfLbT_Et_0to9,LEAFSHAP2,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.7.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000022,Leaf lobe type,Morphological,The type of the leaf lobe,,LfLbT,,Leaf lobe,Type,Recommended,Huaman1991:Def_4.1.7.2,CO_331:0000023,Visual estimation - leaf lobe type,Estimation,Observe the leaf lobe type and rate it. Described from leaves located in the middle section of the vine,,Huaman1991:Def_4.1.7.2,CO_331:0000024,LfLbT 6 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.7.2,0 = No lateral lobes (entire),1 = Very slight (teeth),3 = Slight,5 = Moderate,7 = Deep,9 = Very deep,,,,,,,,
,CO_331:0000163,LfLbN_Et_1to9,LEAFSHAP3,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.7.3,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000025,Leaf lobe number,Morphological,The number of the leaf lobes,,LfLbN,,Leaf lobe,Number,Recommended,Huaman1991:Def_4.1.7.3,CO_331:0000026,Counting - Leaf lobe number,Counting,Count the number of leaf lobes and rate it. Described from leaves located in the middle section of the vine,,Huaman1991:Def_4.1.7.3,CO_331:0000027,LfLbN 5 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.7.3,1 = 1 Lobe,3 = 3 Lobes,5 = 5 Lobes,7 = 7 Lobes,9 = 9 Lobes,,,,,,,,,
,CO_331:0000164,LfLCS_Et_0to9,LEAFSHAP4,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.7.4,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000028,Leaf central lobe shape,Morphological,The shape of the central leaf lobe,,LfLCS,,Central leaf lobe,Shape,Recommended,Huaman1991:Def_4.1.7.4,CO_331:0000029,Visual estimation - Leaf central lobe shape,Estimation,Observe the leaf central lobe shape and rate it. Described from leaves located in the middle section of the vine,,Huaman1991:Def_4.1.7.4,CO_331:0000030,LfLCS 10 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.7.4,0 = Absent,1 = Toothed,2 = Triangular,3 = Semi-circular,4 = Semi-elliptic,5 = Elliptic,6 = Lanceolate,7 = Oblanceolate,8 = Linear (broad),9 = Linear (narrow),,,,
,CO_331:0000165,LfLMS_Et_3to9,LFSIZE,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.8,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000031,Mature leaf size,Morphological,The size of the mature leaf,,LfLMS,,Mature leaf,Size,Recommended,Huaman1991:Def_4.1.8,CO_331:0000032,Visual estimation - Mature leaf size,Estimation,Observe the mature leaf size and rate it. Length from the basal lobes to the tip of the leaves. Record the average expression of at least 3 leaves located in the middle section of the vine,,Huaman1991:Def_4.1.8,CO_331:0000033,LfLMS 4 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.8,3 = Small (<8 cm),5 = Medium (8-15 cm),7 = Large (16-25 cm),9 = Very large (>25 cm),,,,,,,,,,
