Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,,,,
,CO_331:0000147,PtTyp_Et_3to9,PLANT,Characterizing stocks,EE,Recommended,Huaman1991:Def_4.1.2,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000001,Plant Type,Morphological trait,Length of the main vines,Main vine length,PtTyp,,Plant,Length,Recommended,Huaman1991:Def_4.1.2,CO_331:0000002,Observation of Plant Type,Estimation,Visual estimation,,Huaman1991:Def_4.1.2,CO_331:0000003,PltTyp 4 pt. Scale,Ordinal,,,,,3= Erect (<75 cm),9= Extremely spreading (> 250 cm),5= Semi-erect (75-150 cm),7= Spreading (151-250 cm),,,,,,,,,,
,CO_331:0000148,VnFolGRnv_Et_3to9,GRNDCOVR,Characterizing stocks,EE,Recommended,Huaman1991:Def_4.1.3,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000004,Ground Cover,Morphological trait,Soil area covered by plant canopy,,VnFolGRnv,,Plant,Ground cover,Recommended,Huaman1991:Def_4.1.3,CO_331:0000005,Observation of Ground Cover,Estimation,Visual estimation,,Huaman1991:Def_4.1.3,CO_331:0000006,PltCov 4 pt. Scale,Ordinal,,,,,3= Low (<50%),9= Total (> 90%),5= Medium (<50-74%),7= High (75-90%),,,,,,,,,,
,CO_331:0000149,PtTwg_Et_0to9,TWING,Characterizing stocks,EE,Recommended,Huaman1991:Def_4.1.1,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000007,Twining,Morphological trait,Ability of vines to climb adjacent stakes placed in those accessions showing twining characteristics,,PtTwg,,Plant,Twining,Recommended,Huaman1991:Def_4.1.1,CO_331:0000008,Observation of Twining,Estimation,Visual estimation,,Huaman1991:Def_4.1.1,CO_331:0000009,PltTwg 5 pt. Scale,Ordinal,,,,,0= Non-Twining,7= Twining,9 = Very twining,3= Slightly twining,5 = Moderately twining,,,,,,,,,
,CO_331:0000150,VnColP_Et_1to9,VINCO1,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.5.1,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000010,Predominant Vine Color,Morphological trait,Anthocyanin (purple) pigmentation present in the predominant vine besides the green color,,VnColP,,Vine,Predominant color,Recommended,Huaman1991:Def_4.1.5.1,CO_331:0000011,Observation of Predominant Vine Color,Estimation,Visual estimation,,Huaman1991:Def_4.1.5.1,CO_331:0000012,VinClP 9 pt. Scale,Ordinal,,,,,1= Green,5= Green with many dark purple spots,6 = Mostly purple,3= Green with few purple spots,4= Green with many purple spots,9= Totally dark purple,7= Mostly dark purple,8= Totally purple,,,,,,
,CO_331:0000151,VnColS_Et_0to9,VINCO2,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.5.2,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000013,Secondary Vine Color,Morphological trait,Anthocyanin (purple) pigmentation present in the secondary vine besides the green color,,VnColS,,Vine,Secondary color,Recommended,Huaman1991:Def_4.1.5.2,CO_331:0000014,Observation of Secondary Vine Color,Estimation,Visual estimation,,Huaman1991:Def_4.1.5.2,CO_331:0000015,VinClS 8 pt. Scale,Ordinal,,,,,0 = Absent,3 = Green nodes,4 = Purple base,1 = Green base,2 = Green tip,7 = Other,5 = Purple tip,6 = Purple nodes,,,,,,
,CO_331:0000152,VnTipP_Et_0to9,VINPUBS,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.6,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000016,Vine Tips Pubescence,Morphological trait,Degree of hairiness of immature leaves recorded at the apex of the vines,,VnTipP,,Vine tip,Pubescence,Recommended,Huaman1991:Def_4.1.6,CO_331:0000017,Observation of Vine Tips Pubescence,Estimation,Visual estimation,,Huaman1991:Def_4.1.6,CO_331:0000018,VinTpP 8 pt. Scale,Ordinal,,,,,0= Absent,7 = Heavy,3 = Sparse,5 = Moderate,,,,,,,,,,
,CO_331:0000156,VnInLg_Et_1to9,VINLG,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.4.1,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000153,Vine internode length,Morphological trait,Measurement of the vine internode length,,VnInLg,,Vine internode,Length,Recommended,Huaman1991:Def_4.1.4.1,CO_331:0000154,Average length of at least three internodes located in the middle section of the vine,Estimation,Visual estimation,,Huaman1991:Def_4.1.4.1,CO_331:0000155,VinInLg 5 pt. Scale,Ordinal,,,,,1= Very short (<3 cm),7=Long (10-12 cm),9 =Very long (>12 cm),3= Short (3-5 cm),5=Intermediate (6-9 cm),,,,,,,,,
,CO_331:0000160,VnInD_Et_1to9,VINDIA,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.4.2,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000157,Vine internode diameter,Morphological trait,Measurement of the vine internode diameter,,VnInD,,Vine internode,Diameter,Recommended,Huaman1991:Def_4.1.4.2,CO_331:0000158,Average diameter of at least three internodes located in the middle section of the vine,Estimation,Visual estimation,,Huaman1991:Def_4.1.4.2,CO_331:0000159,VinInD 5 pt. Scale,Ordinal,,,,,1= Very thin (<4 mm),7=Thick (10-12 mm),9=Very thick (>12 mm),3= Thin (4-6 mm),5=Intermediate (7-9 mm),,,,,,,,,
,CO_331:0000161,LfOut_Et_1to7,LEAFSHAP1,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.7.1,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000019,General Outline of the Leaf,Morphological trait,"Outline i.e., shape of a leaf located in the middle section of the vine",,LfOut,,Leaf,Outline,Recommended,Huaman1991:Def_4.1.7.1,CO_331:0000020,Observation of General Outline of the Leaf,Estimation,Visual estimation,,Huaman1991:Def_4.1.7.1,CO_331:0000021,LefOut 7 pt. Scale,Ordinal,,,,,1= Rounded,4 = Triangular,5= Hastate,2= Reniform (kidney-shaped),3 = Chordate (heart-shaped),6 = Lobed,7 = Almost divided,,,,,,,
,CO_331:0000162,LfLbT_Et_0to9,LEAFSHAP2,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.7.2,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000022,Leaf Lobe Type,Morphological trait,Type of the lobe of a leaf located in the middle section of the vine,,LfLbT,,Leaf lobe,Type,Recommended,Huaman1991:Def_4.1.7.2,CO_331:0000023,Observation of Leaf Lobes Type,Estimation,Visual estimation,,Huaman1991:Def_4.1.7.2,CO_331:0000024,LefLbT  6 pt. Scale,Ordinal,,,,,0 = No lateral lobes (entire),5 = Moderate,7 = Deep,1 = Very slight (teeth),3 = Slight,9= Very deep,,,,,,,,
